Id,Name,Description,Address,ContactNumber,AdminUserId
73393744-8cca-445b-87ba-8c6b5029affd,Beylerbeyi Orduevi Askeri Gazinosu,"Türk Silahlı Kuvvetlerine bağlı Beylerbeyi Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Beylerbeyi Orduevi içerisinde konaklamak isteyenler için; Beylerbeyi Orduevi Fiyatları, Beylerbeyi Orduevi Resimleri, Beylerbeyi Orduevi Rezervasyon, Beylerbeyi Askeri Gazino ve Beylerbeyi Orduevi Yorumları ‘na yer verdik.","Beylerbeyi mahallesi, Abdullah Ağa Caddesi, Üsküdar – İstanbul",0216 341 50 83,admin-123
b2693b23-8b40-483c-8094-ad605adad534,Ankara Gazi Orduevi,"Türk Silahlı Kuvvetlerine bağlı Ankara Gazi Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Ankara Gazi Orduevi içerisinde konaklamak isteyenler için; Ankara Gazi Orduevi Fiyatları, Ankara Gazi Orduevi Resimleri, Ankara Gazi Orduevi Rezervasyon ve Ankara Gazi Orduevi Yorumları ‘na yer verdik.","Bahçekapı Mahallesi, Söğütözü Caddesi, Çankaya – Ankara",0312 212 60 70,admin-123
b19a5ca7-d224-4725-bdc0-dce70c86488a,Erzincan Astsubay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Erzincan Astsubay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Erzincan Astsubay Orduevi içerisinde konaklamak isteyenler için; Erzincan Astsubay Orduevi Fiyatları, Erzincan Astsubay Orduevi Resimleri, Erzincan Astsubay Orduevi Rezervasyon, Erzincan Astsubay Askeri Gazino ve Erzincan Astsubay Orduevi Yorumları ‘na yer verdik.","Taksim Mahallesi, 13. Şubat Caddesi, No112 Merkez – Erzincan",0446 214 34 79,admin-123
e5c77d33-69e0-48a7-b840-15928719ba45,Bolu Orduevi,"Türk Silahlı Kuvvetlerine bağlı Bolu Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Bolu Orduevi içerisinde konaklamak isteyenler için; Bolu Orduevi Fiyatları, Bolu Orduevi Resimleri, Bolu Orduevi Rezervasyon ve Bolu Orduevi Yorumları ‘na yer verdik.",Tabaklar Mahallesi Ali Rıza Tekemen Caddesi Merkez – BOLU,0374 245 11 30,admin-123
55d14419-d920-453a-b44e-1a01f0abb2c9,Pendik Pavli Orduevi Askeri Gazino,"Türk Silahlı Kuvvetlerine bağlı Pavli Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Pavli Orduevi içerisinde konaklamak isteyenler için; Pavli Orduevi Fiyatları, Pavli Orduevi Resimleri, Pavli Orduevi Rezervasyon, Pavli Askeri Gazino ve Pavli Orduevi Yorumları ‘na yer verdik.",İstanbul Tersane Komutanlığı Pavli Adası Kaynarca Mahallesi Pendik – İstanbul,0216 493 94 94,admin-123
4baada52-4cb8-40da-8c08-e4a408df81db,Kars Orduevi,"Türk Silahlı Kuvvetlerine bağlı Kars Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Kars Orduevi içerisinde konaklamak isteyenler için; Kars Orduevi Fiyatları, Kars Orduevi Resimleri, Kars Orduevi Rezervasyon, Kars Askeri Gazino ve Kars Orduevi Yorumları ‘na yer verdik.","Cumhuriyet Mahallesi, Gazi Mustafa Paşa Caddesi Merkez – Kars",0474 212 60 24  — 0474 212 32 99,admin-123
f144c73c-52b7-41a0-b46d-7d6647aa0269,Eskişehir Astsubay Orduevi,"Türk Silahlı Kuvvetlerine bağlı Eskişehir Astsubay Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Eskişehir Astsubay Orduevi içerisinde konaklamak isteyenler için; Eskişehir Astsubay Orduevi Fiyatları, Eskişehir Astsubay Orduevi Resimleri, Eskişehir Astsubay Orduevi Rezervasyon, Eskişehir Astsubay Askeri Gazino ve Eskişehir Astsubay Orduevi Yorumları ‘na yer verdik.","İstiklal Mahallesi, Başan Sokak,  No7  Odunpazarı – Eskişehir",0222 221 19 30,admin-123
467b646b-7508-49ad-a2f7-6ee831a9fc83,Piri Reis Orduevi,"Türk Silahlı Kuvvetlerine bağlı Piri Reis Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Piri Reis Orduevi içerisinde konaklamak isteyenler için; Piri Reis Orduevi Fiyatları, Piri Reis Orduevi Resimleri, Piri Reis Orduevi Rezervasyon, Piri Reis Askeri Gazino ve Piri Reis Orduevi Yorumları ‘na yer verdik.","Meydan Mahallesi, Yaşar Doğu Caddesi  İskenderun – Hatay",0326 613 14 25,admin-123
083c4868-ca0b-4472-8408-66457f7ee673,Kırklareli Orduevi,"Türk Silahlı Kuvvetlerine bağlı Kırklareli Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Kırklareli Orduevi içerisinde konaklamak isteyenler için; Kırklareli Orduevi Fiyatları, Kırklareli Orduevi Resimleri, Kırklareli Orduevi Rezervasyon, Kırklareli Askeri Gazino ve Kırklareli Orduevi Yorumları ‘na yer verdik.","Karakaş Mahallesi, İstasyon Caddesi, Merkez – Kırklareli",0288 214 11 52,admin-123
cfbe81e2-01ca-4aee-bc47-ae74b4e042ec,Rize Orduevi,"Türk Silahlı Kuvvetlerine bağlı Rize Orduevi askeri personellerin konaklama, yeme, içme, sosyal ihtiyaçlarını karşılayan bir tesis olmaktadır. Bu konuda Rize Orduevi içerisinde konaklamak isteyenler için; Rize Orduevi Fiyatları, Rize Orduevi Resimleri, Rize Orduevi Rezervasyon, Rize Askeri Gazino ve Rize Orduevi Yorumları ‘na yer verdik.","Pazar, Karadeniz Caddesi, Pazar – Rize",0464 612 31 24,admin-123
